0,,,"Bad Strref"
99,,,"16777315"
105,,,"Half-giant"
106,,,"half-giant"
107,,,"Half-giants"
108,,,"In some lost millennium, as a bizarre experiment or perhaps as some sort of curse, Giants were magically crossbred with Humans. Half-giants are now fairly common, especially to Human controlled lands at the edge of the Sea of Silt. A Half-giant is an enormous individual, standing between 10 to 12 feet tall, and weighing in the neighborhood of 1,600 pounds. Their features are human, but exaggerated."
109,,,"As with most Half-giants you were led to adventure by interesting companions of other races."
110,,,"Mul"
111,,,"mul"
112,,,"Muls"
113,,,"A mul is an incredibly tough crossbreed of a Human and Dwarf. They retain the height and cunning of their Human parent, plus the durability raw strenght of thier Dwarven heritage. Muls are usually the products of the slave pits. Their owners recognize the Muls assets as gladiators and laborers, and so order the births of as many muls as can be managed within the ranks of their slaves. Muls are born sterile- they can't reproduce their kind. A full-grown Mul, male or female,  stands 6 to 6 1/2 feet tall and weighs 240 to 300 pounds. They are fair skinned, sometimes tendings toward a copperish coloration and have no hair of any kind."
114,,,"Born as they are to lives of slave labor, with the taskmaster's whip taking place of parents and family, you are prone to having a gruff personality and vialent reactions. Understandably, you don't often seek friends or companionship as you've mostly lived your life in servitude, driven by hatred and spite. You, however, have learned who to trust in the slave pits and who not to, gaining favor and reputation among the other slaves. As Many slave Muls before you, you have plans to either escape or otherwise win your freedom and live an indepentent life on Athas."
115,,,"Thri-kreen"
116,,,"thri-kreen"
117,,,"Thri-kreens"
118,,,"Hulking insect-men standing as tall as 7 feet at the shoulders, the thri-kreen are the least ""Human"" of the races. Thier survivability in the wilderness, combined wity thier cunning and intellect, have made the mantis warrior (as they are known to some races) the undisputed masters across large tracts of the Athasian wastes."
119,,,"Kreen adventure for different reasons. You personally enjoy challenges presented by new prey, but you also seek out the challenge of leading new clutches, new companions and observing the different “hunting” techniques of the dra (sentient meat-creatures such as Humans)."
120,,,"Elf"
121,,,"elf"
122,,,"Elves"
